MBW Cyclone,3,0,2019-09-22
MBW Illinois,13,4,2019-09-22
MBW Yuma,11,8,2019-09-22
Prestage MS,20,10,2019-09-22
Princeton,6,1,2019-09-22
Skyline Boar Stud,1,0,2019-09-22
MB 7082,17,10,2019-09-29
MBW Cyclone,1,1,2019-09-29
MBW Yuma,3,3,2019-09-29
Princeton,7,0,2019-09-29
SPGNC,23,13,2019-09-29
SPGTX,65,26,2019-09-29
High Desert,12,3,2019-10-06
MB 7093,46,28,2019-10-06
MBW Cyclone,7,7,2019-10-06
MBW Yuma,6,3,2019-10-06
Princeton,2,0,2019-10-06
Skyline Boar Stud,2,0,2019-10-06
High Desert,3,1,2019-10-13
MBW Cyclone,2,1,2019-10-13
Skyline Boar Stud,2,0,2019-10-13
Ingold,18,11,2019-10-20
MB 7081,21,11,2019-10-20
MB 7092,40,22,2019-10-20
MB 7094,40,37,2019-10-20
MBW Cimarron,25,17,2019-10-20
MBW Cyclone,3,1,2019-10-20
MBW Yuma,1,0,2019-10-20
Prestage MS,20,5,2019-10-20
Princeton,2,2,2019-10-20
SPGVA,35,22,2019-10-20
High Desert,2,1,2019-10-27
MBW Cimarron,26,19,2019-10-27
MBW Cyclone,1,0,2019-10-27
Clinton,12,3,2019-11-03
MB 7082,20,13,2019-11-03
MBW Cyclone,4,0,2019-11-03
MBW Yuma,3,1,2019-11-03
Norson,80,10,2019-11-03
Skyline Boar Stud,3,1,2019-11-03
SPGNC,25,11,2019-11-03
MB 7092,40,32,2019-11-10
MBW Cimarron,1,1,2019-11-10
MBW Cyclone,2,0,2019-11-10
MBW Yuma,7,6,2019-11-10
Norson,76,0,2019-11-10
Princeton,31,9,2019-11-10
SPGTX,20,9,2019-11-10
MBW Cyclone,1,0,2019-11-17
Princeton,3,1,2019-11-17
Skyline Boar Stud,5,0,2019-11-17
MB 7081,24,11,2019-11-24
MBW Cimarron,1,0,2019-11-24
MBW Cyclone,9,0,2019-11-24
Prestage MS,20,14,2019-11-24
Princeton,4,0,2019-11-24
Skyline Boar Stud,1,0,2019-11-24
SPGVA,30,14,2019-11-24
High Desert,1,1,2019-12-08
Ingold,30,21,2019-12-08
MB 7082,19,9,2019-12-08
MBW Cimarron,3,0,2019-12-08
MBW Yuma,1,0,2019-12-08
Prestage MS,20,14,2019-12-08
Princeton,3,2,2019-12-08
Skyline Boar Stud,5,2,2019-12-08
SPGNC,21,12,2019-12-08
SPGTX,4,4,2019-12-08
High Desert,11,6,2019-12-15
MB 7094,19,9,2019-12-15
Princeton,3,0,2019-12-15
Skyline Boar Stud,198,51,2019-12-15
SPGTX,3,2,2019-12-15
SPGVA,1,1,2019-12-15
MBW Cimarron,1,0,2019-12-22
Princeton,3,2,2019-12-22
SPGTX,2,2,2019-12-22
Ingold,1,0,2019-12-29
MB 7081,20,7,2019-12-29
MBW Yuma,1,1,2019-12-29
Princeton,5,1,2019-12-29
SPGTX,3,0,2019-12-29
SPGVA,30,19,2019-12-29
High Desert,3,2,2020-01-05
MBW Cimarron,30,22,2020-01-05
MBW Cyclone,1,0,2020-01-05
MBW Yuma,6,1,2020-01-05
Princeton,2,1,2020-01-05
SPGTX,3,0,2020-01-05
MB 7082,20,7,2020-01-12
Prestage MS,30,7,2020-01-12
Princeton,5,1,2020-01-12
SPGNC,27,19,2020-01-12
SPGTX,3,1,2020-01-12
Clinton,29,10,2020-01-19
MB 7092,25,15,2020-01-19
MBW Cimarron,1,0,2020-01-19
SPGTX,2,1,2020-01-19
MB 7081,4,0,2020-01-26
MBW Cyclone,7,0,2020-01-26
Norson,1,0,2020-01-26
Princeton,35,0,2020-01-26
SPGTX,2,0,2020-01-26
MB 7081,4,0,2020-01-26
MBW Cyclone,7,0,2020-01-26
Norson,1,0,2020-01-26
Princeton,35,1,2020-01-26
SPGTX,2,0,2020-01-26
High Desert,12,0,2020-02-02
MB 7081,21,0,2020-02-02
MB 7093,33,0,2020-02-02
MBW Cimarron,3,0,2020-02-02
MBW Cyclone,5,3,2020-02-02
MBW Yuma,13,11,2020-02-02
Norson,1,0,2020-02-02
Princeton,3,0,2020-02-02
SPGTX,3,0,2020-02-02
SPGVA,28,0,2020-02-02
MBW Cimarron,3,3,2020-02-09
MBW Yuma,2,2,2020-02-09
Norson,1,0,2020-02-09
Princeton,5,1,2020-02-09
SPGTX,4,4,2020-02-09
GCM7-4,50,8,2020-02-16
High Desert,9,3,2020-02-16
Ingold,26,17,2020-02-16
MB 7082,20,7,2020-02-16
MBW Cimarron,2,1,2020-02-16
MBW Cyclone,1,0,2020-02-16
MBW Yuma,1,0,2020-02-16
Norson,62,12,2020-02-16
Princeton,2,1,2020-02-16
SPGNC,34,26,2020-02-16
SPGTX,2,1,2020-02-16
MBW Cimarron,3,1,2020-02-23
Norson,1,0,2020-02-23
Princeton,5,1,2020-02-23
GCM7-4,41,26,2020-03-01
MB 7094,16,7,2020-03-01
MBW Cimarron,4,3,2020-03-01
MBW Cyclone,1,0,2020-03-01
MBW Yuma,1,0,2020-03-01
Norson,1,0,2020-03-01
Princeton,3,1,2020-03-01
SPGTX,48,27,2020-03-01
High Desert,1,0,2020-03-08
MB 7081,21,2,2020-03-08
MBW Cimarron,3,1,2020-03-08
Norson,1,0,2020-03-08
Princeton,33,25,2020-03-08
SPGVA,29,24,2020-03-08
Ingold,1,1,2020-03-15
MBW Cimarron,6,1,2020-03-15
MBW Cyclone,6,3,2020-03-15
Norson,1,0,2020-03-15
Princeton,4,2,2020-03-15
High Desert,3,3,2020-03-22
MB 7082,19,9,2020-03-22
MBW Cimarron,3,0,2020-03-22
MBW Cyclone,1,0,2020-03-22
MBW Yuma,3,1,2020-03-22
Norson,1,0,2020-03-22
Princeton,6,2,2020-03-22
SPGNC,17,8,2020-03-22
SPGTX,1,0,2020-03-22
GCM7-4,78,17,2020-03-29
MB 7092,32,16,2020-03-29
MBW Cimarron,4,2,2020-03-29
MBW Cyclone,4,1,2020-03-29
Norson,1,0,2020-03-29
Princeton,2,0,2020-03-29
GCM7-4,24,7,2020-04-05
MBW Cyclone,9,5,2020-04-05
Norson,1,0,2020-04-05
GCM7-4,24,7,2020-04-05
MBW Cyclone,9,5,2020-04-05
Norson,1,0,2020-04-05
Ingold,25,11,2020-04-12
MB 7081,21,9,2020-04-12
MBW Cyclone,2,1,2020-04-12
MBW Yuma,2,2,2020-04-12
Norson,1,0,2020-04-12
SPGTX,3,1,2020-04-12
SPGVA,28,22,2020-04-12
High Desert,18,8,2020-04-19
MBW Cimarron,1,0,2020-04-19
Norson,1,0,2020-04-19
MB 7082,21,0,2020-04-26
MB 7094,19,0,2020-04-26
MBW Cyclone,2,0,2020-04-26
MBW Yuma,2,0,2020-04-26
Norson,2,0,2020-04-26
SPGNC,20,0,2020-04-26
SPGTX,1,0,2020-04-26
MB 7082,21,0,2020-04-26
MB 7094,19,0,2020-04-26
MBW Cyclone,2,1,2020-04-26
MBW Yuma,2,0,2020-04-26
Norson,2,1,2020-04-26
SPGNC,20,0,2020-04-26
SPGTX,1,0,2020-04-26
High Desert,10,5,2020-05-03
Norson,1,0,2020-05-03
SPGTX,1,0,2020-05-03
MB 7092,29,22,2020-05-10
MBW Yuma,1,1,2020-05-10
Norson,1,0,2020-05-10
Princeton,3,1,2020-05-10
MB 7081,20,1,2020-05-17
MBW Yuma,1,0,2020-05-17
Norson,1,0,2020-05-17
Princeton,4,1,2020-05-17
SPGTX,1,1,2020-05-17
SPGVA,29,18,2020-05-17
MBW Cyclone,20,14,2020-05-24
Norson,34,5,2020-05-24
Princeton,2,0,2020-05-24
Clinton,25,13,2020-05-31
MB 7082,22,11,2020-05-31
MBW Yuma,2,0,2020-05-31
Norson,1,0,2020-05-31
Prestage MS,20,7,2020-05-31
Princeton,7,5,2020-05-31
SPGNC,18,11,2020-05-31
SPGTX,2,0,2020-05-31
MBW Cyclone,1,1,2020-06-07
MBW Yuma,3,3,2020-06-07
Norson,1,0,2020-06-07
Princeton,4,1,2020-06-07
SPGTX,2,1,2020-06-07
GCM23-4,22,7,2020-06-14
Ingold,23,9,2020-06-14
MBW Cyclone,1,0,2020-06-14
MBW Yuma,1,0,2020-06-14
Norson,1,0,2020-06-14
Princeton,5,3,2020-06-14
Skyline Boar Stud,1,0,2020-06-14
MB 7081,20,13,2020-06-21
MB 7093,44,20,2020-06-21
MBW Cyclone,3,0,2020-06-21
Norson,1,0,2020-06-21
Princeton,2,1,2020-06-21
SPGVA,29,21,2020-06-21
MBW Cimarron,2,0,2020-06-28
MBW Yuma,2,0,2020-06-28
Norson,1,0,2020-06-28
Princeton,5,3,2020-06-28
SPGTX,1,0,2020-06-28
High Desert,27,8,2020-07-05
MB 7082,21,12,2020-07-05
MB 7092,29,18,2020-07-05
MBW Cyclone,4,0,2020-07-05
Norson,1,0,2020-07-05
Princeton,2,1,2020-07-05
SPGNC,22,12,2020-07-05
SPGTX,1,1,2020-07-05
Clinton,42,12,2020-07-12
High Desert,11,8,2020-07-12
Norson,1,0,2020-07-12
Princeton,39,27,2020-07-12
MBW Cyclone,1,1,2020-07-19
MBW Yuma,2,0,2020-07-19
Norson,1,0,2020-07-19
Prestage MS,21,3,2020-07-19
Princeton,1,1,2020-07-19
SPGTX,1,1,2020-07-19
High Desert,1,0,2020-07-26
MB 7094,15,6,2020-07-26
MBW Cyclone,6,2,2020-07-26
MBW Yuma,1,0,2020-07-26
Norson,11,0,2020-07-26
Princeton,2,0,2020-07-26
SPGTX,1,0,2020-07-26
SPGVA,25,14,2020-07-26
MBW Cimarron,1,0,2020-08-02
MBW Yuma,9,5,2020-08-02
Norson,1,0,2020-08-02
Princeton,1,1,2020-08-02
SPGTX,1,1,2020-08-02
MBW Cimarron,1,0,2020-08-02
MBW Yuma,9,5,2020-08-02
Norson,1,0,2020-08-02
Princeton,1,1,2020-08-02
SPGTX,1,1,2020-08-02
Ingold,18,5,2020-08-09
MB 7081,23,4,2020-08-09
MB 7093,37,29,2020-08-09
MBW Cimarron,2,0,2020-08-09
MBW Cyclone,3,0,2020-08-09
MBW Yuma,8,3,2020-08-09
Norson,1,0,2020-08-09
Princeton,3,0,2020-08-09
SPGNC,22,16,2020-08-09
MBW Cimarron,2,0,2020-08-16
MBW Cyclone,18,0,2020-08-16
MBW Yuma,1,0,2020-08-16
Norson,1,0,2020-08-16
Princeton,1,0,2020-08-16
SPGTX,2,2,2020-08-16
Clinton,40,12,2020-08-23
High Desert,11,4,2020-08-23
MBW Cyclone,4,1,2020-08-23
MBW Yuma,5,1,2020-08-23
Norson,1,0,2020-08-23
Princeton,3,0,2020-08-23
SPGTX,1,0,2020-08-23
MBW Cimarron,2,0,2020-08-30
MBW Cyclone,2,1,2020-08-30
MBW Yuma,24,0,2020-08-30
Norson,1,0,2020-08-30
Princeton,1,0,2020-08-30
SPGVA,28,0,2020-08-30
MBW Cyclone,2,0,2020-09-06
MBW Yuma,6,3,2020-09-06
Norson,1,0,2020-09-06
Princeton,2,0,2020-09-06
SPGTX,2,0,2020-09-06
High Desert,1,0,2020-09-13
MB 7082,19,4,2020-09-13
MB 7092,34,19,2020-09-13
MBW Cimarron,36,17,2020-09-13
MBW Cyclone,3,1,2020-09-13
MBW Yuma,2,0,2020-09-13
Norson,1,0,2020-09-13
Princeton,2,0,2020-09-13
SPGNC,20,14,2020-09-13
SPGTX,2,0,2020-09-13
High Desert,1,0,2020-09-13
MB 7082,19,4,2020-09-13
MB 7092,34,19,2020-09-13
MBW Cimarron,36,17,2020-09-13
MBW Cyclone,3,1,2020-09-13
MBW Yuma,2,0,2020-09-13
Norson,1,0,2020-09-13
Princeton,2,0,2020-09-13
SPGNC,20,14,2020-09-13
SPGTX,2,0,2020-09-13
High Desert,1,0,2020-09-13
MB 7082,19,4,2020-09-13
MB 7092,34,19,2020-09-13
MBW Cimarron,36,17,2020-09-13
MBW Cyclone,3,1,2020-09-13
MBW Yuma,2,0,2020-09-13
Norson,1,0,2020-09-13
Princeton,2,0,2020-09-13
SPGNC,20,14,2020-09-13
SPGTX,2,0,2020-09-13
High Desert,10,2,2020-09-20
MBW Cyclone,15,4,2020-09-20
MBW Yuma,4,4,2020-09-20
Norson,1,0,2020-09-20
Princeton,5,3,2020-09-20
GCM23-4,32,17,2020-09-27
MB 7081,25,12,2020-09-27
MBW Cimarron,2,0,2020-09-27
MBW Cyclone,1,0,2020-09-27
MBW Yuma,8,4,2020-09-27
Norson,1,0,2020-09-27
Princeton,47,19,2020-09-27
GCM23-4,32,17,2020-09-27
MB 7081,25,12,2020-09-27
MBW Cimarron,2,0,2020-09-27
MBW Cyclone,1,0,2020-09-27
MBW Yuma,8,4,2020-09-27
Norson,1,0,2020-09-27
Princeton,47,19,2020-09-27
MBW Cimarron,2,0,2020-10-04
MBW Cyclone,1,0,2020-10-04
MBW Yuma,5,4,2020-10-04
Norson,1,0,2020-10-04
Prestage MS,20,6,2020-10-04
Princeton,3,0,2020-10-04
SPGTX,1,0,2020-10-04
SPGVA,28,19,2020-10-04
MBW Cimarron,2,0,2020-10-04
MBW Cyclone,1,0,2020-10-04
MBW Yuma,5,4,2020-10-04
Norson,1,0,2020-10-04
Prestage MS,20,6,2020-10-04
Princeton,3,0,2020-10-04
SPGTX,1,0,2020-10-04
SPGVA,28,19,2020-10-04
Ingold,19,3,2020-10-11
MB 7094,30,7,2020-10-11
MBW Cyclone,1,1,2020-10-11
MBW Yuma,5,5,2020-10-11
Norson,1,0,2020-10-11
SPGTX,3,2,2020-10-11
