Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,ranksum,Percentile,key,Boar Stud.y,ID,DESCR
MB 7082,634E0,SPG120,CULLED,2018-05-12,2020-05-31,47,233.43632357304998,63,92,0.6847826086956522,MB 7082 47,MB 7082,47,LOW INDEX,2020-06-01
MB 7082,7510L,SPG120,CULLED,2018-09-29,2020-05-31,47,233.67328380538996,61,92,0.6630434782608695,MB 7082 47,MB 7082,47,LOW INDEX,2020-06-01
SPGVA,4106B,SPG240,CULLED,2019-09-16,2020-06-22,54,127.44545197102924,70,95,0.7368421052631579,SPGVA 54,SPGVA,54,LOW INDEX,2020-06-22
SPGVA,460F3,SPG240,CULLED,2018-10-29,2020-06-22,54,127.58521849998812,64,95,0.6736842105263158,SPGVA 54,SPGVA,54,LOW INDEX,2020-06-22
SPGVA,823F3,SPG240,CULLED,2018-10-29,2020-06-22,54,128.34614287139843,34,95,0.35789473684210527,SPGVA 54,SPGVA,54,LOW INDEX,2020-06-22
High Desert,3749N,SPG110,CULLED,2019-07-17,2020-07-06,22,240.0190331527962,7,13,0.5384615384615384,High Desert 22,High Desert,22,LOW INDEX,2020-07-06
MB 7082,2868F,SPG240,CULLED,2020-04-25,2020-09-13,47,97.30008072341494,65,93,0.6989247311827957,MB 7082 47,MB 7082,47,LOW INDEX,2020-09-14
MBW Cimarron,3265G,SPG120,CULLED,2020-05-25,2020-09-13,44,107.89813349806882,13,30,0.43333333333333335,MBW Cimarron 44,MBW Cimarron,44,LOW INDEX,2020-09-14
MBW Cimarron,6605F,SPG240,CULLED,2020-07-13,2020-09-13,44,98.22061683979538,68,120,0.5666666666666667,MBW Cimarron 44,MBW Cimarron,44,LOW INDEX,2020-09-14
MB 7082,2868F,SPG240,CULLED,2020-04-25,2020-09-13,47,97.30008072341494,65,93,0.6989247311827957,MB 7082 47,MB 7082,47,LOW INDEX,2020-09-14
MBW Cimarron,3265G,SPG120,CULLED,2020-05-25,2020-09-13,44,107.89813349806882,13,30,0.43333333333333335,MBW Cimarron 44,MBW Cimarron,44,LOW INDEX,2020-09-14
MBW Cimarron,6605F,SPG240,CULLED,2020-07-13,2020-09-13,44,98.22061683979538,68,120,0.5666666666666667,MBW Cimarron 44,MBW Cimarron,44,LOW INDEX,2020-09-14
MB 7092,4104B,SPG240,CULLED,2019-08-09,2020-10-19,36,93.79746607156515,298,413,0.7215496368038741,MB 7092 36,MB 7092,36,LOW INDEX,2020-10-19
SPGVA,5386U,SPG120,CULLED,2019-12-30,2020-12-14,54,104.50632036317249,28,38,0.7368421052631579,SPGVA 54,SPGVA,54,LOW INDEX,2020-12-14
SPGVA,7923A,SPG120,CULLED,2019-05-28,2020-12-14,54,104.86741301909767,27,38,0.7105263157894737,SPGVA 54,SPGVA,54,LOW INDEX,2020-12-14
Skyline Boar Stud,2763F,SPG240,CULLED,2020-06-13,2021-01-26,69,104.96034158929407,77,267,0.2883895131086142,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,3022F,SPG240,CULLED,2020-06-13,2021-01-26,69,103.40489313281513,98,267,0.36704119850187267,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,3141F,SPG240,CULLED,2020-06-13,2021-01-26,69,111.42525071665776,30,267,0.11235955056179775,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,5043F,SPG240,CULLED,2020-06-12,2021-01-26,69,95.53740568570784,194,267,0.7265917602996255,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,5061F,SPG240,CULLED,2020-04-02,2021-01-26,69,98.84749247861191,159,267,0.5955056179775281,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,5329F,SPG240,CULLED,2020-06-12,2021-01-26,69,107.35677338128961,55,267,0.20599250936329588,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,5375F,SPG240,CULLED,2020-06-13,2021-01-26,69,103.85117282103649,90,267,0.33707865168539325,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
Skyline Boar Stud,7001T,SPG240,CULLED,2020-06-13,2021-01-26,69,100.67515046598744,137,267,0.5131086142322098,Skyline Boar Stud 69,Skyline Boar Stud,69,LOW INDEX,2021-01-25
