Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
2874,AI Lab-Cyclone 2874,787767,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
2874,AI Lab-Cyclone 2874,3313735,Asst. Sow Farm Mgr. 1,1/12/2020,1,Regular,72,Salaried
2874,AI Lab-Cyclone 2874,3313735,Asst. Sow Farm Mgr. 1,1/12/2020,30,Holiday,8,Salaried
2874,AI Lab-Cyclone 2874,3313736,Herdsperson 3 (Hourly),1/12/2020,1,Regular,90.77,Hourly
2874,AI Lab-Cyclone 2874,3313736,Herdsperson 3 (Hourly),1/12/2020,1,Regular,-2.05,Hourly
2874,AI Lab-Cyclone 2874,3313736,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,8,Hourly
2874,AI Lab-Cyclone 2874,3313737,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,8,Hourly
2874,AI Lab-Cyclone 2874,3313737,Herdsperson 3 (Hourly),1/12/2020,35,Prsnl Hol,16,Hourly
2874,AI Lab-Cyclone 2874,3313737,Herdsperson 3 (Hourly),1/12/2020,99,PTO,48,Hourly
2874,AI Lab-Cyclone 2874,3313897,AI Courier,1/12/2020,1,Regular,48.82,Hourly
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),1/12/2020,1,Regular,108.07,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),1/12/2020,31,Holiday-adtl,8.73,Hourly
3470,AI Lab-Cimarron 3470,2372688,AI Courier,1/12/2020,1,Regular,38.03,Hourly
3470,AI Lab-Cimarron 3470,3309379,Herdsperson 4 (Hourly),1/12/2020,1,Regular,76.85,Hourly
3470,AI Lab-Cimarron 3470,3309379,Herdsperson 4 (Hourly),1/12/2020,30,Holiday,17.46,Hourly
3470,AI Lab-Cimarron 3470,3309379,Herdsperson 4 (Hourly),1/12/2020,99,PTO,7,Hourly
7068,Farm 7068-AI,791747,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
7068,Farm 7068-AI,1016880,Herdsperson 3 (Hourly),1/12/2020,1,Regular,92.25,Hourly
7068,Farm 7068-AI,1016880,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,9.6,Hourly
7068,Farm 7068-AI,1048903,Assistant Boar Stud Manager,1/12/2020,1,Regular,76.8,Salaried
7068,Farm 7068-AI,1048903,Assistant Boar Stud Manager,1/12/2020,30,Holiday,19.2,Salaried
7068,Farm 7068-AI,1365358,Herdsperson 3 (Hourly),1/12/2020,1,Regular,59.25,Hourly
7068,Farm 7068-AI,1365358,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,19.2,Hourly
7068,Farm 7068-AI,1365358,Herdsperson 3 (Hourly),1/12/2020,99,PTO,19.2,Hourly
7068,Farm 7068-AI,2199393,Herdsperson 3 (Hourly),1/12/2020,1,Regular,91.72,Hourly
7068,Farm 7068-AI,2199393,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,9.6,Hourly
7069,Farm 7069-AI,797573,Sow Farm HOD 1 (Salary),1/12/2020,1,Regular,96,Salaried
7069,Farm 7069-AI,1123529,Boar Stud Mgr.,1/12/2020,1,Regular,86.4,Salaried
7069,Farm 7069-AI,1123529,Boar Stud Mgr.,1/12/2020,35,Prsnl Hol,9.6,Salaried
7069,Farm 7069-AI,1198387,Production Mgr Trainee 2,1/12/2020,1,Regular,60.22,Salaried
7069,Farm 7069-AI,1198387,Production Mgr Trainee 2,1/12/2020,30,Holiday,10,Salaried
7069,Farm 7069-AI,1198387,Production Mgr Trainee 2,1/12/2020,35,Prsnl Hol,20,Salaried
7069,Farm 7069-AI,3310840,Production Mgr Trainee 2 Certf,1/12/2020,1,Regular,86.4,Salaried
7069,Farm 7069-AI,3310840,Production Mgr Trainee 2 Certf,1/12/2020,30,Holiday,9.6,Salaried
7069,Farm 7069-AI,3321432,Assistant Boar Stud Manager,1/12/2020,1,Regular,96,Salaried
7081,Deercroft Boar Stud,337578,Herdsperson 3 (Hourly),1/12/2020,1,Regular,81.62,Hourly
7081,Deercroft Boar Stud,337578,Herdsperson 3 (Hourly),1/12/2020,30,Holiday,9.6,Hourly
7081,Deercroft Boar Stud,700875,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
7081,Deercroft Boar Stud,1896603,Sow Farm HOD 1 (Salary),1/12/2020,1,Regular,76.8,Salaried
7081,Deercroft Boar Stud,1896603,Sow Farm HOD 1 (Salary),1/12/2020,30,Holiday,19.2,Salaried
7081,Deercroft Boar Stud,3315133,Herdsperson 2 (Hourly),1/12/2020,1,Regular,66.67,Hourly
7081,Deercroft Boar Stud,3315133,Herdsperson 2 (Hourly),1/12/2020,30,Holiday,19.2,Hourly
7082,Laurel Hill Boar Stud,38447,Sow Farm HOD 1 (Salary),1/12/2020,1,Regular,86.4,Salaried
7082,Laurel Hill Boar Stud,38447,Sow Farm HOD 1 (Salary),1/12/2020,31,Holiday-adtl,9.6,Salaried
7082,Laurel Hill Boar Stud,38447,Sow Farm HOD 1 (Salary),1/12/2020,35,Prsnl Hol,9.6,Salaried
7082,Laurel Hill Boar Stud,67168,Boar Stud Mgr.,1/12/2020,1,Regular,72,Salaried
7082,Laurel Hill Boar Stud,67168,Boar Stud Mgr.,1/12/2020,35,Prsnl Hol,8,Salaried
7082,Laurel Hill Boar Stud,738304,Herdsperson 3 (Hourly),1/12/2020,1,Regular,66.83,Hourly
7082,Laurel Hill Boar Stud,738304,Herdsperson 3 (Hourly),1/12/2020,31,Holiday-adtl,9.6,Hourly
7082,Laurel Hill Boar Stud,738304,Herdsperson 3 (Hourly),1/12/2020,35,Prsnl Hol,19.2,Hourly
7082,Laurel Hill Boar Stud,738304,Herdsperson 3 (Hourly),1/12/2020,99,PTO,9.6,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 3 (Hourly),1/12/2020,1,Regular,88.1,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 3 (Hourly),1/12/2020,31,Holiday-adtl,9.6,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 3 (Hourly),1/12/2020,99,PTO,2,Hourly
7082,Laurel Hill Boar Stud,3292114,Herdsperson 3 (Hourly),1/12/2020,1,Regular,,Hourly
7092,Askin Boar Stud,689291,Sow Farm HOD 1 (Salary),1/12/2020,1,Regular,94,Salaried
7092,Askin Boar Stud,689291,Sow Farm HOD 1 (Salary),1/12/2020,99,PTO,2,Salaried
7092,Askin Boar Stud,714927,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
7092,Askin Boar Stud,1165047,Production Mgr Trainee 1 Certf,1/12/2020,1,Regular,101.18,Hourly
7092,Askin Boar Stud,2117110,Herdsperson 3 (Hourly),1/12/2020,1,Regular,99.95,Hourly
7092,Askin Boar Stud,2141681,Herdsperson 3 (Hourly),1/12/2020,1,Regular,102.2,Hourly
7092,Askin Boar Stud,3309541,Herdsperson 2 (Hourly),1/12/2020,1,Regular,99.92,Hourly
7092,Askin Boar Stud,3311226,Herdsperson 3 (Hourly),1/12/2020,1,Regular,99.85,Hourly
7092,Askin Boar Stud,3314736,Production Mgr Trainee 1 Certf,1/12/2020,1,Regular,101.7,Hourly
7093,Martin County Boar Stud,903716,Herdsperson 4 (Hourly),1/12/2020,30,Holiday,19.2,Hourly
7093,Martin County Boar Stud,935746,Boar Stud Mgr.,1/12/2020,1,Regular,80,Salaried
7093,Martin County Boar Stud,1226601,Sow Farm HOD 1 (Salary),1/12/2020,1,Regular,96,Salaried
7093,Martin County Boar Stud,1839253,Herdsperson 3 (Hourly),1/12/2020,1,Regular,100.77,Hourly
7093,Martin County Boar Stud,2099936,Herdsperson 3 (Hourly),1/12/2020,1,Regular,100.9,Hourly
7093,Martin County Boar Stud,3306937,Production Mgr Trainee 1 Certf,1/12/2020,1,Regular,109.5,Hourly
7093,Martin County Boar Stud,3310111,Production Mgr Trainee 1 Certf,1/12/2020,1,Regular,109.55,Hourly
7093,Martin County Boar Stud,3311229,Herdsperson 2 (Hourly),1/12/2020,1,Regular,109.58,Hourly
